acc_status,duration,credit_history,purpose,credit_amt,savings,employment,instalment,personal_status,debtors,residence,property,age,other_instalments,housing,number_of_credit,job,people,telephone,foreign_worker,default
<0,6,critical account/other credits existing (not at this bank),radio/television,1169,unknown/no savings account,5:7+ years,4,male: single,none,4,real estate,67,none,own,2,skilled employee/official,1,yes,yes,0
"[0,200)",48,existing credits paid back duly till now,radio/television,5951,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,no,yes,1
no,12,critical account/other credits existing (not at this bank),education,2096,<100,"4:[4,7 years)",2,male: single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,0
<0,42,existing credits paid back duly till now,furniture/equipment,7882,<100,"4:[4,7 years)",2,male: single,guarantor,4,if not A121 : building society savings agreement/life insurance,45,none,for free,1,skilled employee/official,2,no,yes,0
<0,24,delay in paying off in the past,ar (new),4870,<100,"3:[1,4 years)",3,male: single,none,4,unknown / no property,53,none,for free,2,skilled employee/official,2,no,yes,1
no,36,existing credits paid back duly till now,education,9055,unknown/no savings account,"3:[1,4 years)",2,male: single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,yes,yes,0
no,24,existing credits paid back duly till now,furniture/equipment,2835,"[500,1000)",5:7+ years,3,male: single,none,4,if not A121 : building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",36,existing credits paid back duly till now,car (used),6948,<100,"3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",35,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
no,12,existing credits paid back duly till now,radio/television,3059,1000+,"4:[4,7 years)",2,male: divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,0
"[0,200)",30,critical account/other credits existing (not at this bank),ar (new),5234,<100,1:unemployed,4,male: married/widowed,none,2,"if not A121/A122 : car or other, not in attribute",28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1
"[0,200)",12,existing credits paid back duly till now,ar (new),1295,<100,2:<1 year,3,female: divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute",25,none,rent,1,skilled employee/official,1,no,yes,1
<0,48,existing credits paid back duly till now,business,4308,<100,2:<1 year,3,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,no,yes,1
